country_id,year,err_float,is_switch_year,provisional,note
TZA,2023,0,0,0,
TZA,2024,0,0,1,
TZA,2025,0,0,1,
UGA,2019,1,0,0,
UGA,2020,1,0,0,
UGA,2021,1,0,0,
UGA,2022,1,0,0,
UGA,2023,1,0,0,
UGA,2024,1,0,1,
UGA,2025,1,0,1,
UKR,2019,1,0,0,
UKR,2020,1,0,0,
UKR,2021,1,0,0,
UKR,2022,1,0,0,
UKR,2023,0,1,0,Floating -> fixed/managed 2023 (wartime measures Feb-2022; AREAER 2023 vintage)
UKR,2024,0,0,1,
UKR,2025,0,0,1,
USA,2019,1,0,0,
USA,2020,1,0,0,
USA,2021,1,0,0,
USA,2022,1,0,0,
USA,2023,1,0,0,
USA,2024,1,0,1,
USA,2025,1,0,1,
VNM,2019,0,0,0,
VNM,2020,0,0,0,
VNM,2021,0,0,0,
VNM,2022,0,0,0,
VNM,2023,0,0,0,
VNM,2024,0,0,1,
VNM,2025,0,0,1,
ZAF,2019,1,0,0,
ZAF,2020,1,0,0,
ZAF,2021,1,0,0,
ZAF,2022,1,0,0,
ZAF,2023,1,0,0,
ZAF,2024,1,0,1,
ZAF,2025,1,0,1,
ZMB,2019,1,0,0,
ZMB,2020,1,0,0,
ZMB,2021,0,1,0,kwacha volatility: Floating<->Other Managed flips 2021-23 (AREAER)
ZMB,2022,1,1,0,kwacha volatility: Floating<->Other Managed flips 2021-23 (AREAER)
ZMB,2023,0,1,0,kwacha volatility: Floating<->Other Managed flips 2021-23 (AREAER)
ZMB,2024,0,0,1,
ZMB,2025,0,0,1,
